epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,1579.31,0.82172,0.49684,0.85336,0.92995,0.97767,0.97322,0.73046,0.97199,0.56445,0.86217,0.000552036,0.000552036,0.000552036
121,1591.5,0.84229,0.49748,0.85142,0.94842,0.96713,0.9755,0.74454,0.9679,0.55235,0.86294,0.000549036,0.000549036,0.000549036
122,1603.46,0.82872,0.49742,0.85315,0.93467,0.96117,0.97764,0.73484,0.99176,0.57398,0.87467,0.000546036,0.000546036,0.000546036
123,1617.41,0.83188,0.50741,0.84724,0.94152,0.94572,0.97721,0.76389,0.9738,0.56962,0.87225,0.000543037,0.000543037,0.000543037
124,1629.35,0.85441,0.51443,0.85767,0.92342,0.97244,0.98139,0.7328,0.97608,0.55538,0.87311,0.000540037,0.000540037,0.000540037
125,1641.01,0.83183,0.51449,0.85375,0.94796,0.94935,0.9836,0.7366,0.97001,0.55213,0.87492,0.000537037,0.000537037,0.000537037
126,1655.28,0.81959,0.48873,0.85116,0.93315,0.92785,0.95764,0.74666,0.92467,0.56478,0.86067,0.000534037,0.000534037,0.000534037
127,1668,0.82763,0.49003,0.85476,0.94201,0.96168,0.98051,0.74219,0.97379,0.5485,0.87127,0.000531038,0.000531038,0.000531038
128,1679.45,0.83302,0.50087,0.84789,0.9311,0.95,0.98063,0.73846,1.01691,0.57035,0.88063,0.000528038,0.000528038,0.000528038
129,1693.16,0.83571,0.49683,0.85574,0.94476,0.95068,0.97903,0.76685,0.91014,0.55519,0.85507,0.000525038,0.000525038,0.000525038
130,1706.48,0.84632,0.50476,0.85138,0.93865,0.95932,0.97961,0.73838,0.97566,0.57587,0.87378,0.000522039,0.000522039,0.000522039
131,1717.75,0.84397,0.50841,0.85481,0.93492,0.96013,0.97147,0.73581,1.00547,0.60091,0.8777,0.000519039,0.000519039,0.000519039
132,1731.94,0.8062,0.48686,0.84588,0.9534,0.96407,0.9788,0.74633,1.00127,0.55693,0.88145,0.000516039,0.000516039,0.000516039
133,1745.6,0.81432,0.49121,0.85049,0.93715,0.96281,0.97526,0.75141,0.93872,0.53429,0.86772,0.00051304,0.00051304,0.00051304
134,1756.14,0.83038,0.49695,0.84633,0.94814,0.96048,0.96815,0.73602,0.95946,0.56149,0.86599,0.00051004,0.00051004,0.00051004
